space,register,name,abbr,raw,value
holding,0,,,80,80
holding,1,,,0,0
holding,2,,,0,0
holding,3,,,0,0
holding,4,,,1,1
holding,5,Voltage,V,22715,113.575
holding,6,Current,A,3793,37.93
holding,7,Active Power,W,7585,7585
holding,8,,,5,5
holding,9,,,2,2
holding,10,,,0,0
holding,11,,,0,0
holding,12,Voltage (dup),V,22715,113.575
holding,13,,,0,0
holding,14,,,0,0
holding,15,Current (dup),A,3793,37.93
holding,16,,,1,1
holding,17,,,3793,3793
holding,18,Active Power (dup),W,7585,7585
holding,19,,,4,4
holding,20,,,3,3
holding,21,,,5,5
holding,22,,,0,0
holding,23,,,0,0
holding,24,,,1,1
holding,25,,,0,0
holding,26,,,4,4
holding,27,,,0,0
holding,28,,,0,0
holding,29,,,0,0
holding,30,,,0,0
holding,31,,,0,0
holding,32,,,0,0
holding,33,,,0,0
holding,34,,,0,0
holding,35,,,0,0
holding,36,,,0,0
holding,37,,,0,0
holding,38,,,0,0
holding,39,,,0,0
holding,40,,,0,0
holding,41,,,0,0
holding,42,,,0,0
holding,43,,,0,0
holding,44,,,0,0
holding,45,,,0,0
holding,46,,,0,0
holding,47,,,0,0
holding,48,,,0,0
holding,49,,,0,0
holding,50,,,0,0
holding,51,,,0,0
holding,52,,,0,0
holding,53,,,0,0
holding,54,,,0,0
holding,55,,,0,0
holding,56,,,0,0
holding,57,,,0,0
holding,58,,,0,0
holding,59,,,0,0
input,0,,,0,0
input,1,,,0,0
input,2,,,0,0
input,3,,,0,0
input,4,,,0,0
input,5,,,0,0
input,6,,,0,0
input,7,,,0,0
input,8,,,0,0
input,9,,,0,0
input,10,,,3987,3987
input,11,,,16581,16581
input,12,,,9590,9590
input,13,,,25825,25825
input,14,,,1104,1104
input,15,,,3318,3318
input,16,,,0,0
input,17,,,0,0
input,18,,,0,0
input,19,,,0,0
input,20,,,0,0
input,21,,,0,0
input,22,,,0,0
input,23,,,0,0
input,24,,,0,0
input,25,,,0,0
input,26,,,0,0
input,27,,,0,0
input,28,,,0,0
input,29,,,0,0
input,30,,,0,0
input,31,,,0,0
input,32,,,0,0
input,33,,,0,0
input,34,,,0,0
input,35,,,0,0
input,36,,,0,0
input,37,,,0,0
input,38,,,0,0
input,39,,,0,0
input,40,,,0,0
input,41,,,0,0
input,42,,,0,0
input,43,,,0,0
input,44,,,0,0
input,45,,,0,0
input,46,,,0,0
input,47,,,0,0
input,48,,,0,0
input,49,,,0,0
input,50,,,0,0
input,51,,,0,0
input,52,,,0,0
input,53,,,0,0
input,54,,,0,0
input,55,,,0,0
input,56,,,0,0
input,57,,,0,0
input,58,,,0,0
input,59,,,0,0
